L(T-168),L(T)
6921.072,6886.46664
6678.83448,6903.76932
6182.66844,5952.12192
5846.43528,5865.60852
5757.58368,5831.00316
5722.04304,6055.938
5988.59784,6194.35944
6378.6096,5675.27904
7767.5004,5761.79244
7613.1792,6779.37708
6700.34592,5793.90372
6851.86128,5827.88556
6952.87152,5759.92188
6902.3664,5726.40768
6835.02624,5604.19776
6643.44972,5726.40768
6439.55868,5691.49056
6412.9032,5324.8608
6601.518,5656.57344
7094.0988,7315.13664
8357.19444,6927.3072
8097.65424,6851.86128
7558.93296,6546.96
7323.08652,5866.07616
6796.368,5639.11488
5433.04152,5342.31936
6232.70592,5225.40936
5778.78336,5260.01472
5604.19776,5606.06832
5918.45184,5623.371
6127.95456,5536.8576
7611.93216,5420.10348
7629.39072,6439.55868
7769.0592,6694.42248
6531.99552,6303.63132
6885.53136,4927.3668
6296.30496,4308.36732
6784.52112,4155.13728
6818.1912,5656.57344
6683.51088,5656.57344
6717.18096,3805.96608
6813.35892,5639.11488
6745.39524,5656.57344
7390.2708,6215.24736
8602.70544,5831.15904
8624.8404,6218.67672
8504.8128,5827.88556
8189.62344,5488.06716
7832.81412,5311.92276
7085.21364,5086.98792
5467.64688,5062.9824
5329.22544,4808.74212
5467.64688,4614.98328
5502.25224,4315.5378
6021.33264,4474.06776
6111.11952,4801.104
6784.52112,5342.31936
6893.0136,5813.70048
6932.29536,5725.94004
6286.6404,5199.22152
6609.46788,5841.75888
6541.5042,5993.27424
6337.61316,6262.63488
6395.7564,5976.4392
6618.6648,5759.92188
6618.6648,5349.8016
6567.2244,5538.4164
7098.7752,5761.3248
8607.6936,7373.74752
8607.6936,7577.95032
8590.5468,7238.13192
8710.5744,6881.3226
7613.1792,6541.5042
7218.8028,5606.06832
5571.46296,5381.13348
5519.55492,5185.19232
5640.67368,4949.65764
5900.99328,4914.42876
6354.91584,4965.86916
7384.97088,5208.10668
7696.88676,6001.38
7696.88676,6936.03648
6796.368,7070.7168
6830.34984,6771.73896
7138.05696,6204.64752
7003.37664,6144.7896
6286.6404,6178.45968
6955.67736,6018.5268
6453.89964,5932.7928
6955.67736,5812.7652
5502.25224,6320.62224
8218.773,7509.98664
8824.3668,7929.30384
8213.3172,8325.5508
8065.85472,8384.7852
7167.3624,7373.124
6755.8392,6618.6648
6104.2608,5900.99328
5986.72728,5604.19776
5865.60852,5349.8016
5727.18708,6652.9584
5779.09512,5255.02656
5398.43616,5412.1536
6700.34592,5949.9396
7662.90492,7187.15916
7238.13192,7883.78688
6439.55868,7136.1864
6644.22912,6618.6648
6626.92644,6721.5456
6730.74252,6678.83448
6584.3712,6337.61316
6626.92644,6532.9308
6592.32108,6635.8116
6263.57016,6436.59696
6258.582,5156.19864
5555.5632,8083.31328
7962.97392,8599.43196
8264.7576,8599.43196
8058.996,8339.89176
7373.124,7943.6448
7064.4816,7450.90812
6755.8392,6605.415
5467.64688,5704.27272
5294.62008,5544.33984
5237.568,5633.19144
5156.19864,5671.84968
5624.1504,5830.37964
6292.8756,6411.65616
7340.07744,7734.14208
7321.6836,5250.19428
6721.5456,6550.0776
6755.8392,6635.8116
6395.7564,6824.4264
6367.38624,6824.4264
6367.38624,6601.518
6429.2706,5881.3524
6394.04172,6567.2244
6358.81284,6378.6096
6429.2706,6575.0184
6499.72836,7526.6658
6696.13716,7818.9408
