L(T-24),L(T)
4818.2508,5810.89464
4886.838,6224.2884
7000.25904,5932.7928
7204.15008,7218.8028
7081.6284,6765.34788
7102.20456,6869.16396
7051.2318,6350.08356
5878.85832,6021.33264
5335.14888,5604.19776
5394.69504,5429.61216
5185.19232,5202.65088
4983.17184,4896.81432
4152.6432,4703.05548
4663.9296,4888.3968
4848.49152,5366.9484
5824.92384,5946.822
6048.76752,6087.114
6207.1416,6177.05676
5551.82208,5946.822
5980.80384,5774.41872
5720.95188,5131.25784
5622.90336,4989.7188
5707.07856,5115.35808
5929.83108,5234.4504
5810.89464,5377.86
6224.2884,5516.90496
5932.7928,6005.74464
7218.8028,5935.9104
6765.34788,6040.66176
6869.16396,6073.24068
6350.08356,6018.5268
6021.33264,5658.444
5604.19776,5220.10944
5429.61216,4723.63164
5202.65088,4643.97696
4896.81432,4773.51324
4703.05548,4678.89408
4888.3968,4720.66992
5366.9484,4740.46668
5946.822,5012.3214
6087.114,5084.18208
6177.05676,5067.34704
5946.822,5134.6872
5774.41872,5016.84192
5131.25784,5097.276
4989.7188,4553.56656
5115.35808,4561.0488
5234.4504,4571.181
5377.86,4678.7382
5516.90496,4804.2216
6005.74464,5447.07072
5935.9104,5530.93416
6040.66176,5865.60852
6073.24068,5579.88048
6018.5268,5575.0482
5658.444,5270.3028
5220.10944,4888.3968
4723.63164,4286.7
4643.97696,4012.3512
4773.51324,4312.26432
4678.89408,4417.01568
4720.66992,4556.68416
4740.46668,4783.64544
5012.3214,5062.9824
5084.18208,5132.81664
5067.34704,5202.65088
5134.6872,5235.69744
5016.84192,5318.15796
5097.276,5233.20336
4553.56656,4944.35772
4561.0488,4842.4122
4571.181,4638.52116
4678.7382,4672.503
4804.2216,4281.71184
5447.07072,5691.9582
5530.93416,6235.66764
5865.60852,6021.33264
5579.88048,6211.66212
5575.0482,5865.60852
5270.3028,5604.19776
4888.3968,5231.48868
4286.7,4914.42876
4012.3512,4843.971
4312.26432,4703.05548
4417.01568,4691.36448
4556.68416,4709.1348
4783.64544,4655.82384
5062.9824,5348.86632
5132.81664,5267.1852
5202.65088,5046.30324
5235.69744,5590.01268
5318.15796,5539.03992
5233.20336,6694.42248
4944.35772,5318.15796
4842.4122,5335.14888
4638.52116,5250.19428
4672.503,5246.9208
4281.71184,5332.6548
5691.9582,6327.1692
6235.66764,6388.58592
6021.33264,6541.5042
6211.66212,6388.58592
5865.60852,6286.6404
5604.19776,5727.0312
5231.48868,5454.08532
4914.42876,5115.35808
4843.971,4940.77248
4703.05548,4958.23104
4691.36448,5010.60672
4709.1348,5028.06528
4655.82384,5167.73376
5348.86632,5369.13072
5267.1852,5386.12164
5046.30324,5335.14888
5590.01268,5454.55296
